Month,zam: (Turkey)
2004-01,3
2004-02,2
2004-03,6
2004-04,6
2004-05,4
2004-06,3
2004-07,6
2004-08,5
2004-09,1
2004-10,3
2004-11,1
2004-12,3
2005-01,3
2005-02,4
2005-03,2
2005-04,1
2005-05,2
2005-06,3
2005-07,6
2005-08,8
2005-09,2
2005-10,2
2005-11,6
2005-12,7
2006-01,12
2006-02,16
2006-03,17
2006-04,4
2006-05,4
2006-06,4
2006-07,3
2006-08,3
2006-09,3
2006-10,1
2006-11,2
2006-12,3
2007-01,4
2007-02,9
2007-03,1
2007-04,1
2007-05,2
2007-06,3
2007-07,4
2007-08,7
2007-09,4
2007-10,4
2007-11,8
2007-12,3
2008-01,6
2008-02,3
2008-03,3
2008-04,4
2008-05,3
2008-06,5
2008-07,12
2008-08,20
2008-09,7
2008-10,6
2008-11,4
2008-12,4
2009-01,8
2009-02,4
2009-03,8
2009-04,3
2009-05,4
2009-06,7
2009-07,14
2009-08,4
2009-09,2
2009-10,4
2009-11,4
2009-12,9
2010-01,21
2010-02,4
2010-03,4
2010-04,2
2010-05,2
2010-06,4
2010-07,5
2010-08,4
2010-09,3
2010-10,6
2010-11,4
2010-12,6
2011-01,6
2011-02,5
2011-03,6
2011-04,2
2011-05,2
2011-06,3
2011-07,4
2011-08,3
2011-09,3
2011-10,33
2011-11,9
2011-12,11
2012-01,12
2012-02,6
2012-03,9
2012-04,9
2012-05,11
2012-06,7
2012-07,6
2012-08,7
2012-09,9
2012-10,7
2012-11,6
2012-12,11
2013-01,14
2013-02,4
2013-03,4
2013-04,3
2013-05,3
2013-06,5
2013-07,7
2013-08,7
2013-09,4
2013-10,3
2013-11,5
2013-12,10
2014-01,13
2014-02,6
2014-03,4
2014-04,6
2014-05,4
2014-06,5
2014-07,7
2014-08,4
2014-09,9
2014-10,14
2014-11,11
2014-12,10
2015-01,13
2015-02,7
2015-03,7
2015-04,8
2015-05,5
2015-06,9
2015-07,9
2015-08,10
2015-09,8
2015-10,6
2015-11,9
2015-12,14
2016-01,21
2016-02,7
2016-03,5
2016-04,3
2016-05,5
2016-06,5
2016-07,12
2016-08,4
2016-09,6
2016-10,5
2016-11,8
2016-12,22
2017-01,12
2017-02,5
2017-03,4
2017-04,6
2017-05,7
2017-06,11
2017-07,14
2017-08,9
2017-09,9
2017-10,8
2017-11,9
2017-12,12
2018-01,15
2018-02,7
2018-03,7
2018-04,12
2018-05,15
2018-06,11
2018-07,26
2018-08,19
2018-09,15
2018-10,12
2018-11,11
2018-12,23
2019-01,32
2019-02,12
2019-03,9
2019-04,27
2019-05,11
2019-06,14
2019-07,21
2019-08,60
2019-09,13
2019-10,11
2019-11,10
2019-12,20
2020-01,24
2020-02,11
2020-03,8
2020-04,7
2020-05,13
2020-06,12
2020-07,20
2020-08,8
2020-09,9
2020-10,7
2020-11,8
2020-12,20
2021-01,26
2021-02,8
2021-03,7
2021-04,7
2021-05,8
2021-06,10
2021-07,21
2021-08,17
2021-09,10
2021-10,34
2021-11,36
2021-12,97
2022-01,100
2022-02,44
2022-03,78
